                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.5487,                0.99789,                 1.2709,                0.92785,                0.92186,                0.96252,                0.57948,                 1.3482,                0.88295,                 1.2282,               0.001288,               0.001288,               0.001288
                     90,                 1.5515,                 1.0697,                 1.3122,                0.95146,                 0.9133,                0.96709,                0.54623,                 1.5068,                 0.8954,                 1.3045,               0.001189,               0.001189,               0.001189
                     91,                 1.5023,                 1.0229,                 1.3289,                0.94242,                0.93907,                0.97165,                0.54489,                 1.4696,                0.88909,                 1.2932,                0.00109,                0.00109,                0.00109
                     92,                 1.4526,                0.97794,                 1.2804,                0.94967,                0.93548,                0.97145,                0.56881,                 1.3696,                0.87331,                 1.2278,               0.000991,               0.000991,               0.000991
                     93,                 1.4993,                 1.0124,                 1.3212,                0.95647,                0.94507,                0.97245,                0.56327,                 1.4318,                0.86457,                 1.2593,               0.000892,               0.000892,               0.000892
                     94,                 1.4714,                  1.003,                 1.3112,                0.94775,                0.94265,                0.96973,                0.57673,                 1.3598,                0.88136,                 1.2249,               0.000793,               0.000793,               0.000793
                     95,                 1.4228,                0.99231,                 1.3018,                0.93874,                0.93376,                0.96729,                0.57209,                 1.3686,                0.89132,                 1.2333,               0.000694,               0.000694,               0.000694
                     96,                 1.4601,                  1.029,                 1.3019,                0.94954,                0.94265,                0.96877,                 0.5873,                 1.3281,                0.85807,                 1.2135,               0.000595,               0.000595,               0.000595
                     97,                 1.4611,                0.96202,                 1.2623,                 0.9358,                0.94038,                0.96604,                0.58054,                 1.3331,                0.86541,                  1.215,               0.000496,               0.000496,               0.000496
                     98,                 1.3855,                0.95729,                 1.2447,                 0.9609,                 0.9319,                0.97271,                0.59274,                 1.3117,                0.85277,                 1.2021,               0.000397,               0.000397,               0.000397
                     99,                 1.3864,                 0.9213,                 1.2473,                0.95557,                0.94265,                0.97308,                0.60462,                 1.2934,                0.84303,                 1.1913,               0.000298,               0.000298,               0.000298
